time,bull_ratio_1,bull_ratio_0,bull_ratio_2,bull_amount_0,bull_amt_change_2,bull_amount_2,bull_amt_change_1,lock_price_change_1,bull_amount_1,bull_amt_change_0,lock_price_change_2,bull_ratio_change_0,total_amount_2,bull_ratio_change_2,total_amount_0,bull_ratio_change_1,total_amount_1
2023-03-12 08:02:43.244000000,2.7,22.6,3.19,22.96145,1.55,28.74767,1.02,1.00097,29.21289,0.79,1.00007,8.37,41.87131,1.55,24.02218,0.85,46.39307
2023-03-12 08:07:46.893000000,2.69,6.25,2.7,1.88647,1.02,29.21289,0.83,1.0,24.28861,0.08,1.00097,2.32,46.39307,0.85,2.24598,1.0,38.6483
2023-03-12 08:12:52.746000000,2.86,6.13,2.69,19.85354,0.83,24.28861,1.16,0.99942,28.17026,0.7,1.0,2.14,38.6483,1.0,23.72453,1.06,43.34333
2023-03-12 08:17:59.245000000,2.45,1.21,2.86,0.39637,1.16,28.17026,0.77,1.00043,21.73253,0.02,0.99942,0.49,43.34333,1.06,2.31487,0.86,36.7383
2023-03-12 08:23:03.720000000,2.46,1.87,2.45,5.7358,0.77,21.73253,0.7,1.00086,15.2749,0.38,1.00043,0.76,36.7383,0.86,12.35214,1.0,25.7593
2023-03-12 08:28:10.878000000,1.99,6.8,2.46,4.63826,0.7,15.2749,1.08,1.00036,16.47203,0.28,1.00086,3.42,25.7593,1.0,5.4381,0.81,33.16845
2023-03-12 08:33:15.472000000,1.76,2.11,1.99,9.35376,1.08,16.47203,0.39,0.99943,6.4618,1.45,1.00036,1.2,33.16845,0.81,17.75375,0.88,14.96443
2023-03-12 08:38:22.339000000,1.89,18.7,1.76,10.01067,0.39,6.4618,1.76,0.99914,11.36451,0.88,0.99943,9.89,14.96443,0.88,10.57707,1.07,24.0797
2023-03-12 08:43:28.888000000,2.29,30.9,1.89,13.47833,1.76,11.36451,1.39,0.99968,15.76406,0.86,0.99914,13.49,24.0797,1.07,13.92903,1.21,27.94805
2023-03-12 08:48:37.926000000,2.35,5.19,2.29,15.68242,1.39,15.76406,0.96,0.99996,15.10668,1.04,0.99968,2.21,27.94805,1.21,19.42314,1.03,26.28508
2023-03-12 08:53:41.444000000,3.49,4.61,2.35,10.25263,0.96,15.10668,1.09,0.99888,16.47987,0.62,0.99996,1.32,26.28508,1.03,13.09631,1.49,23.11047
2023-03-12 08:58:51.408000000,2.11,18.6,3.49,21.88098,1.09,16.47987,0.69,0.9995,11.33943,1.93,0.99888,8.82,23.11047,1.49,23.12804,0.6,21.59352
2023-03-12 09:03:56.576000000,2.55,6.38,2.11,15.91666,0.69,11.33943,2.01,1.00022,22.79421,0.7,0.9995,2.5,21.59352,0.6,18.87331,1.21,37.51056
2023-03-12 09:09:07.588000000,2.3,4.12,2.55,21.32571,2.01,22.79421,0.83,1.00267,18.87741,1.13,1.00022,1.79,37.51056,1.21,28.15589,0.9,33.39484
2023-03-12 09:14:13.648000000,2.55,6.71,2.3,21.50566,0.83,18.87741,1.33,0.99971,25.1374,0.86,1.00267,2.63,33.39484,0.9,25.27084,1.11,41.34017
2023-03-12 09:19:18.421000000,2.16,3.42,2.55,20.36778,1.33,25.1374,0.88,0.99982,22.15708,0.92,0.99971,1.58,41.34017,1.11,28.78637,0.85,41.1954
2023-03-12 09:24:24.908000000,2.49,5.03,2.16,30.66754,0.88,22.15708,1.0,0.99946,22.09998,1.39,0.99982,2.02,41.1954,0.85,38.28456,1.15,36.9092
2023-03-12 09:29:31.255000000,2.4,24.1,2.49,21.65832,1.0,22.09998,1.45,1.00097,32.08458,0.68,0.99946,10.04,36.9092,1.15,22.5953,0.96,54.98085
2023-03-12 09:30:05.749000000,2.4,2.15,2.49,23.67111,1.0,22.09998,1.45,1.00097,32.08458,0.74,0.99946,0.9,36.9092,1.15,44.26269,0.96,54.98085
2023-03-12 09:35:03.086000000,2.15,3.63,2.4,27.63052,1.45,32.08458,0.74,1.00058,23.67111,1.17,1.00097,1.69,54.98085,0.96,38.1511,0.9,44.26269
2023-03-12 09:40:04.397000000,2.77,5.46,2.15,30.48867,0.74,23.67111,1.31,1.00036,30.98992,0.98,1.00058,1.97,44.26269,0.9,37.33121,1.29,48.49174
2023-03-12 09:45:03.751000000,2.71,3.45,2.77,26.47781,1.31,30.98992,1.03,0.9995,31.7763,0.83,1.00036,1.27,48.49174,1.29,37.29853,0.98,50.33673
2023-03-12 09:50:03.188000000,2.38,1.3,2.71,1.65058,1.03,31.7763,0.9,0.99932,28.45252,0.06,0.9995,0.55,50.33673,0.98,7.11404,0.88,49.07611
2023-03-12 09:55:03.560000000,2.01,1.48,2.38,1.67388,0.9,28.45252,0.25,0.99921,7.18027,0.23,0.99932,0.74,49.07611,0.88,5.18222,0.84,14.28273
2023-03-12 10:00:07.160000000,1.74,1.26,2.01,1.53705,0.25,7.18027,0.59,1.00004,4.24893,0.36,0.99921,0.72,14.28273,0.84,7.37698,0.87,10.02871
2023-03-12 10:05:13.534000000,2.14,1.26,1.74,0.98127,0.59,4.24893,1.96,0.99888,8.34559,0.12,1.00004,0.59,10.02871,0.87,4.81951,1.23,15.63514
2023-03-12 10:10:18.443000000,1.88,1.87,2.14,1.19864,1.96,8.34559,0.86,0.99939,7.19455,0.17,0.99888,0.99,15.63514,1.23,2.57343,0.88,15.35026
2023-03-12 10:15:24.812000000,1.9,1.33,1.88,1.02551,0.86,7.19455,0.55,0.99993,3.93491,0.26,0.99939,0.7,15.35026,0.88,4.11584,1.01,8.29866
2023-03-12 10:20:31.214000000,1.67,2.82,1.9,1.41875,0.55,3.93491,1.11,1.0004,4.36705,0.32,0.99993,1.69,8.29866,1.01,2.19695,0.88,10.90428
2023-03-12 10:25:36.591000000,1.63,3.1,1.67,2.87194,1.11,4.36705,0.94,1.00011,4.08552,0.7,1.0004,1.9,10.90428,0.88,4.2407,0.98,10.53903
2023-03-12 10:30:43.006000000,1.72,2.09,1.63,2.32158,0.94,4.08552,1.39,1.00054,5.69255,0.41,1.00011,1.22,10.53903,0.98,4.44736,1.06,13.55258
2023-03-12 10:35:49.696000000,1.89,8.45,1.72,1.94524,1.39,5.69255,0.72,0.99964,4.10857,0.47,1.00054,4.47,13.55258,1.06,2.20627,1.1,8.71004
2023-03-12 10:40:55.124000000,1.53,5.04,1.89,3.09154,0.72,4.10857,0.9,1.00036,3.68566,0.84,0.99964,3.29,8.71004,1.1,3.85667,0.81,10.64027
2023-03-12 10:46:00.507000000,1.66,1.41,1.53,1.23033,0.9,3.68566,1.07,0.9986,3.94943,0.31,1.00036,0.85,10.64027,0.81,4.24049,1.08,9.8987
2023-03-12 10:51:06.943000000,1.58,4.9,1.66,1.66058,1.07,3.94943,1.41,1.00108,5.56865,0.3,0.9986,3.1,9.8987,1.08,2.08588,0.95,15.12755
2023-03-12 10:56:12.437000000,1.66,3.74,1.58,5.31102,1.41,5.56865,0.53,1.00025,2.95979,1.79,1.00108,2.25,15.12755,0.95,7.2493,1.05,7.4457
2023-03-12 11:01:19.850000000,1.71,2.71,1.66,1.76614,0.53,2.95979,2.37,1.00018,7.02506,0.25,1.00025,1.58,7.4457,1.05,2.80033,1.03,16.8665
2023-03-12 11:06:22.816000000,2.14,2.1,1.71,1.52821,2.37,7.02506,0.91,1.00025,6.37027,0.24,1.00018,0.98,16.8665,1.03,2.92016,1.25,11.95287
2023-03-12 11:11:28.901000000,1.78,5.04,2.14,5.13337,0.91,6.37027,0.82,1.00076,5.19384,0.99,1.00025,2.83,11.95287,1.25,6.40275,0.83,11.84272
2023-03-12 11:16:34.052000000,1.69,4.23,1.78,1.27518,0.82,5.19384,1.22,0.99953,6.34925,0.2,1.00076,2.5,11.84272,0.83,1.66945,0.95,15.56517
2023-03-12 11:21:40.333000000,2.07,14.7,1.69,3.37073,1.22,6.34925,0.4,1.0,2.556,1.32,0.99953,7.1,15.56517,0.95,3.61642,1.22,4.95015
2023-03-12 11:26:47.424000000,2.05,4.97,2.07,2.70864,0.4,2.556,2.38,1.00126,6.07837,0.45,1.0,2.42,4.95015,1.22,3.39116,0.99,11.85837
2023-03-12 11:31:52.041000000,1.83,6.18,2.05,2.00018,2.38,6.07837,0.95,1.00065,5.75628,0.35,1.00126,3.38,11.85837,0.99,2.38627,0.89,12.69356
2023-03-12 11:36:58.240000000,1.58,2.6,1.83,2.01855,0.95,5.75628,0.69,0.99928,3.95908,0.51,1.00065,1.65,12.69356,0.89,3.28029,0.86,10.80739
2023-03-12 11:42:04.158000000,1.91,7.84,1.58,3.06175,0.69,3.95908,1.84,0.99968,7.29441,0.42,0.99928,4.1,10.80739,0.86,3.50912,1.21,15.29821
2023-03-12 11:47:10.377000000,1.85,2.81,1.91,1.01475,1.84,7.29441,0.94,1.00083,6.87669,0.15,0.99968,1.52,15.29821,1.21,1.57686,0.97,14.92716
2023-03-12 11:52:15.247000000,1.57,1.66,1.85,0.7337,0.94,6.87669,0.46,0.99989,3.15684,0.23,1.00083,1.06,14.92716,0.97,1.84037,0.85,8.66131
2023-03-12 11:57:21.736000000,1.6,2.69,1.57,0.41363,0.46,3.15684,1.22,0.99889,3.83658,0.11,0.99989,1.68,8.66131,0.85,0.65811,1.02,10.19679
2023-03-12 12:02:28.343000000,2.08,3.09,1.6,3.04562,1.22,3.83658,0.79,1.00004,3.026,1.01,0.99889,1.49,10.19679,1.02,4.50331,1.3,5.84022
2023-03-12 12:07:33.293000000,1.57,1.24,2.08,1.03278,0.79,3.026,1.25,0.99986,3.76783,0.27,1.00004,0.79,5.84022,1.3,5.41595,0.75,10.33815
2023-03-12 12:12:38.838000000,1.94,3.12,1.57,2.16848,1.25,3.76783,1.88,0.9991,7.07694,0.31,0.99986,1.61,10.33815,0.75,3.19276,1.24,14.62035
2023-03-12 12:17:45.884000000,1.51,3.58,1.94,1.36802,1.88,7.07694,0.48,0.9996,3.4213,0.4,0.9991,2.37,14.62035,1.24,1.89904,0.78,10.0862
2023-03-12 12:22:48.533000000,1.58,2.08,1.51,1.7206,0.48,3.4213,1.46,0.99856,5.00367,0.34,0.9996,1.32,10.0862,0.78,3.31579,1.05,13.62615
2023-03-12 12:27:54.850000000,2.36,2.22,1.58,1.81649,1.46,5.00367,1.77,1.00105,8.86392,0.2,0.99856,0.94,13.62615,1.05,3.30765,1.49,15.37511
2023-03-12 12:32:59.343000000,1.86,1.57,2.36,0.70747,1.77,8.86392,0.45,0.99964,3.95306,0.18,1.00105,0.84,15.37511,1.49,1.94944,0.79,8.52402
2023-03-12 12:38:05.898000000,1.8,2.34,1.86,0.67466,0.45,3.95306,1.39,0.99953,5.47987,0.12,0.99964,1.3,8.52402,0.79,1.1783,0.97,12.34497
2023-03-12 12:43:11.848000000,1.74,2.46,1.8,1.16228,1.39,5.47987,0.93,0.99913,5.08627,0.23,0.99953,1.41,12.34497,0.97,1.95591,0.97,11.93985
2023-03-12 12:48:19.044000000,1.84,3.27,1.74,2.80023,0.93,5.08627,0.64,1.00069,3.23193,0.87,0.99913,1.78,11.93985,0.97,4.03396,1.06,7.08582
2023-03-12 12:53:24.236000000,2.05,5.85,1.84,2.80784,0.64,3.23193,2.57,0.99885,8.30109,0.34,1.00069,2.85,7.08582,1.06,3.38653,1.11,16.19662
2023-03-12 12:58:30.768000000,1.72,1.93,2.05,0.98986,2.57,8.30109,0.57,1.00004,4.74831,0.21,0.99885,1.12,16.19662,1.11,2.05739,0.84,11.30173
2023-03-12 13:03:37.128000000,1.66,2.51,1.72,1.4087,0.57,4.74831,0.95,1.00134,4.48856,0.31,1.00004,1.51,11.30173,0.84,2.34191,0.97,11.29917
2023-03-12 13:08:42.698000000,1.59,3.16,1.66,1.36767,0.95,4.48856,0.86,0.99982,3.86742,0.35,1.00134,1.99,11.29917,0.97,2.00206,0.96,10.39687
2023-03-12 13:13:50.157000000,1.81,5.2,1.59,2.60593,0.86,3.86742,1.42,1.00119,5.48555,0.48,0.99982,2.87,10.39687,0.96,3.22688,1.14,12.29878
2023-03-12 13:18:53.740000000,1.55,1.91,1.81,1.32913,1.42,5.48555,0.9,1.00151,4.92096,0.27,1.00119,1.23,12.29878,1.14,2.78337,0.86,13.87346
2023-03-12 13:24:00.369000000,1.76,3.34,1.55,3.96526,0.9,4.92096,1.34,1.00144,6.60052,0.6,1.00151,1.9,13.87346,0.86,5.66287,1.14,15.24376
2023-03-12 13:29:05.910000000,1.78,2.48,1.76,1.74285,1.34,6.60052,0.79,0.99982,5.24482,0.33,1.00144,1.39,15.24376,1.14,2.91993,1.01,11.9728
2023-03-12 13:34:12.069000000,1.45,1.61,1.78,1.5363,0.79,5.24482,0.57,0.99935,2.9868,0.51,0.99982,1.11,11.9728,1.01,4.03719,0.81,9.57184
2023-03-12 13:39:18.291000000,1.74,2.27,1.45,3.94429,0.57,2.9868,1.6,0.99914,4.76515,0.83,0.99935,1.3,9.57184,0.81,7.05319,1.2,11.20506
2023-03-12 13:44:24.186000000,2.47,3.52,1.74,1.00626,1.6,4.76515,2.63,0.99939,12.52419,0.08,0.99914,1.43,11.20506,1.2,1.40576,1.42,21.03481
2023-03-12 13:49:32.753000000,1.91,11.8,2.47,4.32328,2.63,12.52419,0.4,1.00011,5.06665,0.85,0.99939,6.18,21.03481,1.42,4.72354,0.77,10.6352
2023-03-12 13:50:03.120000000,1.91,2.13,2.47,7.54151,2.63,12.52419,0.4,1.00011,5.06665,1.49,0.99939,1.12,21.03481,1.42,14.195,0.77,10.6352
2023-03-12 13:55:03.523000000,2.13,1.75,1.91,3.91813,0.4,5.06665,1.49,0.99957,7.54151,0.52,1.00011,0.82,10.6352,0.77,9.17166,1.12,14.195
2023-03-12 14:00:04.489000000,1.75,1.47,2.13,1.56686,1.49,7.54151,0.85,0.99787,6.43347,0.24,0.99957,0.84,14.195,1.12,4.91949,0.82,15.03594
2023-03-12 14:10:05.819000000,1.58,7.12,1.9,5.635,0.71,4.59638,1.22,0.99975,5.62176,1.0,0.99964,4.51,9.69953,1.09,6.55535,0.83,15.28831
2023-03-12 14:20:11.097000000,2.26,37.1,2.0,5.365,1.41,7.93036,1.21,0.99906,9.59221,0.56,1.00108,16.42,15.8233,1.27,5.51363,1.13,17.20237
2023-03-12 14:25:16.567000000,1.93,13.3,2.26,2.42527,1.21,9.59221,0.95,0.9996,9.15587,0.26,0.99906,6.89,17.20237,1.13,2.62247,0.85,18.95059
2023-03-12 14:30:20.304000000,1.89,4.46,1.93,1.377,0.95,9.15587,0.98,1.00134,8.98887,0.15,0.9996,2.36,18.95059,0.85,1.77533,0.98,19.11962
2023-03-12 14:40:28.527000000,2.2,1.26,1.74,0.82111,0.37,3.3368,1.94,1.00191,6.47438,0.13,1.00029,0.57,7.83806,0.92,3.96608,1.26,11.87802
2023-03-12 15:26:19.474000000,1.89,3.51,1.68,2.25127,1.18,5.67613,1.32,0.99989,7.49089,0.3,1.00043,1.86,14.07437,0.89,3.14705,1.12,15.92395
2023-03-12 16:17:10.862000000,1.77,4.08,2.77,3.31746,2.4,11.00243,0.77,1.00195,8.4435,0.39,1.00152,2.31,17.22343,1.72,4.39359,0.64,19.4673
2023-03-12 16:22:14.177000000,1.67,5.54,1.77,3.91387,0.77,8.4435,0.75,0.99845,6.34636,0.62,1.00195,3.32,19.4673,0.64,4.77626,0.94,15.87025
2023-03-12 16:27:19.859000000,2.14,5.3,1.67,3.705,0.75,6.34636,1.31,1.00094,8.30714,0.45,0.99845,2.48,15.87025,0.94,4.56669,1.28,15.61949
2023-03-12 16:32:22.444000000,1.69,3.3,2.14,4.00981,1.31,8.30714,0.87,1.00079,7.19861,0.56,1.00094,1.95,15.61949,1.28,5.75374,0.79,17.61907
2023-03-12 16:37:30.088000000,2.12,4.63,1.69,2.84482,0.87,7.19861,1.24,1.00032,8.92136,0.32,1.00079,2.18,17.61907,0.79,3.62873,1.25,16.86344
2023-03-12 16:42:35.349000000,1.68,1.92,2.12,0.72412,1.24,8.92136,0.94,0.99899,8.37749,0.09,1.00032,1.14,16.86344,1.25,1.51107,0.79,20.78707
2023-03-12 16:47:38.505000000,2.94,1.67,1.68,0.90135,0.94,8.37749,0.7,0.99996,5.88714,0.15,0.99899,0.57,20.78707,0.79,2.24944,1.75,8.91871
2023-03-12 16:52:44.001000000,2.08,1.95,2.94,2.55056,0.7,5.88714,1.3,1.00105,7.67036,0.33,0.99996,0.94,8.91871,1.75,5.23866,0.71,14.76255
